,lattitude,longitude,Fri Sep 10 09:42:11 2021,Fri Sep 10 09:43:15 2021,Fri Sep 10 09:44:17 2021,Fri Sep 10 09:45:21 2021,Fri Sep 10 09:46:26 2021,Fri Sep 10 09:47:28 2021,Fri Sep 10 09:48:32 2021,Fri Sep 10 09:49:35 2021,Fri Sep 10 09:50:37 2021,Fri Sep 10 09:51:42 2021,Fri Sep 10 09:52:46 2021,Fri Sep 10 09:53:49 2021,Fri Sep 10 09:54:52 2021,Fri Sep 10 09:55:55 2021,Fri Sep 10 09:56:58 2021,Fri Sep 10 09:58:01 2021,Fri Sep 10 09:59:04 2021,Fri Sep 10 10:00:07 2021,Fri Sep 10 10:01:10 2021,Fri Sep 10 10:02:13 2021,Fri Sep 10 10:03:16 2021,Fri Sep 10 10:04:19 2021,Fri Sep 10 10:05:23 2021,Fri Sep 10 10:06:26 2021,Fri Sep 10 10:07:29 2021,Fri Sep 10 10:08:32 2021,Fri Sep 10 10:09:35 2021,Fri Sep 10 10:10:37 2021,Fri Sep 10 10:11:40 2021,Fri Sep 10 10:12:43 2021,Fri Sep 10 10:13:46 2021,Fri Sep 10 10:14:48 2021,Fri Sep 10 10:15:51 2021,Fri Sep 10 10:16:54 2021,Fri Sep 10 10:17:57 2021,Fri Sep 10 10:19:00 2021,Fri Sep 10 10:20:03 2021,Fri Sep 10 10:21:06 2021,Fri Sep 10 10:22:09 2021,Fri Sep 10 10:23:12 2021,Fri Sep 10 10:24:16 2021,Fri Sep 10 10:25:18 2021,Fri Sep 10 10:26:22 2021,Fri Sep 10 10:27:25 2021,Fri Sep 10 10:28:28 2021,Fri Sep 10 10:29:30 2021,Fri Sep 10 10:30:34 2021,Fri Sep 10 10:31:37 2021,Fri Sep 10 10:32:41 2021,Fri Sep 10 10:33:43 2021,Fri Sep 10 10:34:46 2021,Fri Sep 10 10:35:49 2021,Fri Sep 10 10:36:53 2021,Fri Sep 10 10:37:56 2021,Fri Sep 10 10:38:59 2021,Fri Sep 10 10:40:02 2021,Fri Sep 10 10:41:05 2021,Fri Sep 10 10:42:08 2021,Fri Sep 10 10:43:11 2021,Fri Sep 10 10:44:13 2021
Buckingham Fountain,41.876535,-87.620472,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,6,6,7,6,6,6,6,4,3,3,4,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Shedd Aquarium,41.867225,-87.615355,10,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,12,11,12,13,13,12,12,12,12,12,12,12,12,11,10,9,7,6,6,6,6,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3
Burnham Harbor,41.856268,-87.613348,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State St & Harrison St,41.874053,-87.627716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusable Harbor,41.886976,-87.612813,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Field Blvd & South Water St,41.886349,-87.617516,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
Leavitt St & Archer Ave,41.828792,-87.680604,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Jeffery Blvd & 71st St,41.766638,-87.57645,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
South Shore Dr & 71st St,41.766409,-87.565687,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Wilton Ave & Diversey Pkwy,41.932418,-87.652705,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17
