,lattitude,longitude,Tue Oct 19 10:04:55 2021,Tue Oct 19 10:05:54 2021,Tue Oct 19 10:06:53 2021,Tue Oct 19 10:07:52 2021,Tue Oct 19 10:08:51 2021,Tue Oct 19 10:09:50 2021,Tue Oct 19 10:10:50 2021,Tue Oct 19 10:11:48 2021,Tue Oct 19 10:12:48 2021,Tue Oct 19 10:13:48 2021,Tue Oct 19 10:14:47 2021,Tue Oct 19 10:15:46 2021,Tue Oct 19 10:16:45 2021,Tue Oct 19 10:17:44 2021,Tue Oct 19 10:18:43 2021,Tue Oct 19 10:19:42 2021,Tue Oct 19 10:20:40 2021,Tue Oct 19 10:21:39 2021,Tue Oct 19 10:22:40 2021,Tue Oct 19 10:23:39 2021,Tue Oct 19 10:24:39 2021,Tue Oct 19 10:25:40 2021,Tue Oct 19 10:26:39 2021,Tue Oct 19 10:27:38 2021,Tue Oct 19 10:28:36 2021,Tue Oct 19 10:29:35 2021,Tue Oct 19 10:30:35 2021,Tue Oct 19 10:31:37 2021,Tue Oct 19 10:32:36 2021,Tue Oct 19 10:33:36 2021,Tue Oct 19 10:34:34 2021,Tue Oct 19 10:35:33 2021,Tue Oct 19 10:36:32 2021,Tue Oct 19 10:37:31 2021,Tue Oct 19 10:38:30 2021,Tue Oct 19 10:39:29 2021,Tue Oct 19 10:40:28 2021,Tue Oct 19 10:41:27 2021,Tue Oct 19 10:42:26 2021,Tue Oct 19 10:43:26 2021,Tue Oct 19 10:44:26 2021,Tue Oct 19 10:45:24 2021,Tue Oct 19 10:46:23 2021,Tue Oct 19 10:47:22 2021,Tue Oct 19 10:48:21 2021,Tue Oct 19 10:49:20 2021,Tue Oct 19 10:50:19 2021,Tue Oct 19 10:51:18 2021,Tue Oct 19 10:52:17 2021,Tue Oct 19 10:53:17 2021,Tue Oct 19 10:54:16 2021,Tue Oct 19 10:55:15 2021,Tue Oct 19 10:56:15 2021,Tue Oct 19 10:57:14 2021,Tue Oct 19 10:58:13 2021,Tue Oct 19 10:59:12 2021,Tue Oct 19 11:00:12 2021,Tue Oct 19 11:01:10 2021,Tue Oct 19 11:02:09 2021,Tue Oct 19 11:03:08 2021,Tue Oct 19 11:04:07 2021,Tue Oct 19 11:05:08 2021,Tue Oct 19 11:06:07 2021,Tue Oct 19 11:07:06 2021,Tue Oct 19 11:08:06 2021,Tue Oct 19 11:09:04 2021,Tue Oct 19 11:10:03 2021,Tue Oct 19 11:11:03 2021,Tue Oct 19 11:12:03 2021,Tue Oct 19 11:13:03 2021,Tue Oct 19 11:14:03 2021,Tue Oct 19 11:15:02 2021,Tue Oct 19 11:16:01 2021,Tue Oct 19 11:17:01 2021,Tue Oct 19 11:18:00 2021,Tue Oct 19 11:19:00 2021,Tue Oct 19 11:19:58 2021,Tue Oct 19 11:20:57 2021,Tue Oct 19 11:21:56 2021,Tue Oct 19 11:22:55 2021,Tue Oct 19 11:23:54 2021,Tue Oct 19 11:24:52 2021,Tue Oct 19 11:25:52 2021,Tue Oct 19 11:26:51 2021,Tue Oct 19 11:27:50 2021,Tue Oct 19 11:28:49 2021,Tue Oct 19 11:29:48 2021,Tue Oct 19 11:30:48 2021,Tue Oct 19 11:31:47 2021,Tue Oct 19 11:32:46 2021,Tue Oct 19 11:33:45 2021,Tue Oct 19 11:34:45 2021,Tue Oct 19 11:35:44 2021,Tue Oct 19 11:36:43 2021,Tue Oct 19 11:37:42 2021,Tue Oct 19 11:38:42 2021,Tue Oct 19 11:39:41 2021,Tue Oct 19 11:40:40 2021,Tue Oct 19 11:41:39 2021,Tue Oct 19 11:42:39 2021,Tue Oct 19 11:43:40 2021,Tue Oct 19 11:44:39 2021,Tue Oct 19 11:45:38 2021,Tue Oct 19 11:46:38 2021,Tue Oct 19 11:47:38 2021,Tue Oct 19 11:48:37 2021,Tue Oct 19 11:49:36 2021,Tue Oct 19 11:50:35 2021,Tue Oct 19 11:51:34 2021,Tue Oct 19 11:52:34 2021,Tue Oct 19 11:53:33 2021,Tue Oct 19 11:54:33 2021,Tue Oct 19 11:55:32 2021,Tue Oct 19 11:56:32 2021,Tue Oct 19 11:57:32 2021,Tue Oct 19 11:58:31 2021,Tue Oct 19 11:59:30 2021,Tue Oct 19 12:00:28 2021,Tue Oct 19 12:01:27 2021,Tue Oct 19 12:02:26 2021
2112 W Peterson Ave,41.991178,-87.683593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63rd St Beach,41.78091,-87.576323,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9,9,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
900 W Harrison St,41.874754,-87.649807,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0
Aberdeen St & Jackson Blvd,41.877726,-87.654787,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,8,7,7,7,7,6,6,6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Aberdeen St & Monroe St,41.880419,-87.655519,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Aberdeen St & Randolph St,41.884114,-87.654264,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Ada St & 113th St,41.687561,-87.655475,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ada St & Washington Blvd,41.88283,-87.661206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adler Planetarium,41.866095,-87.607267,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Albany Ave & 26th St,41.844475,-87.702013,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
