,latitude,longitude,tract
tract: 842400,41.74099936625513,-87.63074134979428,tract: 842400
tract: 840300,41.83019553535356,-87.68189355555552,tract: 840300
tract: 841100,41.85058152444443,-87.6347978311112,tract: 841100
tract: 841200,41.85544335897437,-87.68247357264958,tract: 841200
tract: 839000,41.87166972519081,-87.63119441984735,tract: 839000
tract: 838200,41.87015977297297,-87.6748560594595,tract: 838200
tract: 650301,41.77466888549619,-87.72972251908396,tract: 650301
tract: 530503,41.66466498101263,-87.63777780379748,tract: 530503
tract: 760803,41.97567398963729,-87.84394302072536,tract: 760803
tract: 030601,41.98862792957745,-87.65694597183101,tract: 030601
tract: 030604,41.98549908620689,-87.65416858620694,tract: 030604
tract: 020801,41.98656377647059,-87.69451784705885,tract: 020801
tract: 540102,41.66464034513277,-87.60305383480825,tract: 540102
tract: 843300,41.86459146153847,-87.69273511538468,tract: 843300
tract: 540101,41.6514879265537,-87.60261463559323,tract: 540101
tract: 440201,41.748225312500004,-87.61018194791666,tract: 440201
tract: 080202,41.905945032786896,-87.63078998360655,tract: 080202
tract: 070102,41.93108875000001,-87.64288647916665,tract: 070102
tract: 031501,41.96730469230768,-87.6522653653846,tract: 031501
tract: 031502,41.963549865384614,-87.65194069230772,tract: 031502
tract: 834900,41.772990792792775,-87.65683301801808,tract: 834900
tract: 834800,41.783092590909106,-87.64502458181818,tract: 834800
tract: 160502,41.9558916627907,-87.71303889534884,tract: 160502
tract: 140702,41.96404051041667,-87.71338917708333,tract: 140702
tract: 842000,41.83532976666668,-87.62461433333337,tract: 842000
tract: 150402,41.95672300925926,-87.77201144444446,tract: 150402
tract: 834400,41.77672036904762,-87.59633392857145,tract: 834400
tract: 040201,41.9723749174312,-87.69373266972475,tract: 040201
tract: 040202,41.97989849438202,-87.6942254044944,tract: 040202
tract: 020702,41.99822557352941,-87.70650819852942,tract: 020702
tract: 020802,41.994174123456794,-87.69451874074075,tract: 020802
tract: 020301,42.00641201538462,-87.70461548461535,tract: 020301
tract: 838700,41.86265647407407,-87.71935428148151,tract: 838700
tract: 020601,42.00084973684211,-87.70248258947365,tract: 020601
tract: 841500,41.86143019117647,-87.70735841911763,tract: 841500
tract: 838600,41.86778881481482,-87.70075404938271,tract: 838600
tract: 837300,41.87154970212767,-87.70557030851067,tract: 837300
tract: 020602,42.00150223076923,-87.6936092051282,tract: 020602
tract: 063301,41.93444661403509,-87.64339421052628,tract: 063301
