,tracts,population
0,tract: 660500,5005
1,tract: 230500,3559
2,tract: 251700,1301
3,tract: 390200,1674
4,tract: 431301,3194
5,tract: 301701,4276
6,tract: 050300,2633
7,tract: 063301,2596
8,tract: 430101,3599
9,tract: 310300,1800
10,tract: 040401,3179
11,tract: 611100,2368
12,tract: 010502,3045
13,tract: 730202,3450
14,tract: 843100,1872
15,tract: 680500,1378
16,tract: 421200,1526
17,tract: 671100,1277
18,tract: 251200,4307
19,tract: 610400,2040
20,tract: 770800,5617
21,tract: 241000,2093
22,tract: 061000,1878
23,tract: 010600,6624
24,tract: 190800,6948
25,tract: 411100,2292
26,tract: 460200,2551
27,tract: 170300,5203
28,tract: 440800,1699
29,tract: 680600,1728
30,tract: 612100,960
31,tract: 670200,827
32,tract: 760801,4125
33,tract: 490500,2089
34,tract: 243300,2468
35,tract: 110300,5241
36,tract: 062600,2247
37,tract: 230400,2430
38,tract: 251600,3863
39,tract: 230900,5435
40,tract: 130200,1664
41,tract: 081201,4381
42,tract: 010503,2112
43,tract: 842300,3547
44,tract: 220601,1917
45,tract: 660301,1801
46,tract: 843000,2637
47,tract: 681100,3311
48,tract: 030101,3547
49,tract: 671200,914
50,tract: 242000,4901
51,tract: 690400,3527
52,tract: 241100,3822
53,tract: 240800,1672
54,tract: 060900,7062
55,tract: 140200,6138
56,tract: 190300,5100
57,tract: 040100,3996
58,tract: 440700,1564
59,tract: 612000,1452
60,tract: 010201,7032
61,tract: 691200,3252
62,tract: 835700,578
63,tract: 840300,3764
64,tract: 031100,4377
65,tract: 832000,1824
66,tract: 071300,3809
67,tract: 062500,1531
68,tract: 830600,4781
69,tract: 360200,1609
70,tract: 281900,5358
71,tract: 220602,5163
72,tract: 010702,5608
73,tract: 660302,5402
74,tract: 831000,2191
75,tract: 290900,3904
76,tract: 590600,3838
77,tract: 570500,2306
78,tract: 241500,3077
79,tract: 711300,1744
80,tract: 081000,7380
81,tract: 060500,1264
82,tract: 221400,2994
83,tract: 301600,5114
84,tract: 300800,3999
85,tract: 611900,2036
86,tract: 190200,5502
87,tract: 838200,2094
88,tract: 140701,2733
89,tract: 560900,5141
90,tract: 530502,1510
91,tract: 700302,5417
92,tract: 836400,3262
93,tract: 832900,2616
94,tract: 292200,2863
95,tract: 710500,4104
96,tract: 490400,780
97,tract: 031200,5756
98,tract: 670100,1192
99,tract: 230700,5267
100,tract: 030400,2584
101,tract: 050700,1610
102,tract: 030703,2727
103,tract: 831200,4915
104,tract: 031300,7800
105,tract: 081300,5161
106,tract: 060400,3971
107,tract: 300500,2980
108,tract: 062200,2878
109,tract: 200200,4866
110,tract: 750600,3594
111,tract: 650302,4267
112,tract: 832400,3084
113,tract: 710400,5364
114,tract: 600900,3516
115,tract: 460700,2569
116,tract: 832600,3852
117,tract: 170600,2737
118,tract: 120400,3598
119,tract: 070400,3400
120,tract: 210400,2682
121,tract: 220400,2564
122,tract: 836600,2746
123,tract: 711200,5041
124,tract: 301803,5183
125,tract: 221300,2573
126,tract: 221000,3008
127,tract: 062100,3671
128,tract: 611400,3481
129,tract: 671500,2794
130,tract: 051300,2691
131,tract: 140702,6090
132,tract: 140302,4152
133,tract: 660600,6378
134,tract: 020802,7436
135,tract: 841000,830
136,tract: 831900,2633
137,tract: 430800,1652
138,tract: 170500,5316
139,tract: 620200,2451
140,tract: 670400,1809
141,tract: 210100,3480
142,tract: 730300,1135
143,tract: 030200,5251
144,tract: 061901,3810
145,tract: 833900,2262
146,tract: 490800,4266
147,tract: 836800,2218
148,tract: 301702,4477
149,tract: 100300,5943
150,tract: 310400,1266
151,tract: 062000,2942
152,tract: 191200,3854
153,tract: 171000,7943
154,tract: 100200,6548
155,tract: 240700,1630
