,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Buckingham Fountain,41.876535,-87.620472,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Buckingham Fountain, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Buckingham Fountain, dtype: int64"
Shedd Aquarium,41.867225,-87.615355,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Shedd Aquarium, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Shedd Aquarium, dtype: int64"
Burnham Harbor,41.856268,-87.613348,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Burnham Harbor, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Burnham Harbor, dtype: int64"
State St & Harrison St,41.874053,-87.627716,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: State St & Harrison St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: State St & Harrison St, dtype: int64"
Dusable Harbor,41.886976,-87.612813,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Dusable Harbor, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Dusable Harbor, dtype: int64"
Field Blvd & South Water St,41.886349,-87.617516,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Field Blvd & South Water St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Field Blvd & South Water St, dtype: int64"
Leavitt St & Archer Ave,41.828792,-87.680604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Leavitt St & Archer Ave, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Leavitt St & Archer Ave, dtype: int64"
Jeffery Blvd & 71st St,41.766638,-87.57645,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Jeffery Blvd & 71st St, dtype: int64"
South Shore Dr & 71st St,41.766409,-87.565687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: South Shore Dr & 71st St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: South Shore Dr & 71st St, dtype: int64"
Wilton Ave & Diversey Pkwy,41.932418,-87.652705,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Wilton Ave & Diversey Pkwy, dtype: int64"
