,tracts,population
0,660500,5005
1,230500,3559
2,251700,1301
3,390200,1674
4,431301,3194
5,301701,4276
6,050300,2633
7,063301,2596
8,430101,3599
9,310300,1800
10,040401,3179
11,611100,2368
12,010502,3045
13,730202,3450
14,843100,1872
15,680500,1378
16,421200,1526
17,671100,1277
18,251200,4307
19,610400,2040
20,770800,5617
21,241000,2093
22,061000,1878
23,010600,6624
24,190800,6948
25,411100,2292
26,460200,2551
27,170300,5203
28,440800,1699
29,680600,1728
30,612100,960
31,670200,827
32,760801,4125
33,490500,2089
34,243300,2468
35,110300,5241
36,062600,2247
37,230400,2430
38,251600,3863
39,230900,5435
40,130200,1664
41,081201,4381
42,010503,2112
43,842300,3547
44,220601,1917
45,660301,1801
46,843000,2637
47,681100,3311
48,030101,3547
49,671200,914
50,242000,4901
51,690400,3527
52,241100,3822
53,240800,1672
54,060900,7062
55,140200,6138
56,190300,5100
57,040100,3996
58,440700,1564
59,612000,1452
60,010201,7032
61,691200,3252
62,835700,578
63,840300,3764
64,031100,4377
65,832000,1824
66,071300,3809
67,062500,1531
68,830600,4781
69,360200,1609
70,281900,5358
71,220602,5163
72,010702,5608
73,660302,5402
74,831000,2191
75,290900,3904
76,590600,3838
77,570500,2306
78,241500,3077
79,711300,1744
80,081000,7380
81,060500,1264
82,221400,2994
83,301600,5114
84,300800,3999
85,611900,2036
86,190200,5502
87,838200,2094
88,140701,2733
89,560900,5141
90,530502,1510
91,700302,5417
92,836400,3262
93,832900,2616
94,292200,2863
95,710500,4104
96,490400,780
97,031200,5756
98,670100,1192
99,230700,5267
100,030400,2584
101,050700,1610
102,030703,2727
103,831200,4915
104,031300,7800
105,081300,5161
106,060400,3971
107,300500,2980
108,062200,2878
109,200200,4866
110,750600,3594
111,650302,4267
112,832400,3084
113,710400,5364
114,600900,3516
115,460700,2569
116,832600,3852
117,170600,2737
118,120400,3598
119,070400,3400
120,210400,2682
121,220400,2564
122,836600,2746
123,711200,5041
124,301803,5183
125,221300,2573
126,221000,3008
127,062100,3671
128,611400,3481
129,671500,2794
130,051300,2691
131,140702,6090
132,140302,4152
133,660600,6378
134,020802,7436
135,841000,830
136,831900,2633
137,430800,1652
138,170500,5316
139,620200,2451
140,670400,1809
141,210100,3480
142,730300,1135
143,030200,5251
144,061901,3810
145,833900,2262
146,490800,4266
147,836800,2218
148,301702,4477
149,100300,5943
150,310400,1266
151,062000,2942
152,191200,3854
153,171000,7943
154,100200,6548
155,240700,1630
156,840400,3343
157,381500,298
158,420400,1105
159,170400,3867
160,120200,4613
161,071700,1780
162,070200,3985
163,710600,1934
164,062700,2880
165,836700,2291
166,580100,2966
167,160400,4819
168,110200,3057
169,823304,5900
170,190900,1994
171,691300,2665
172,241600,3541
173,240600,1548
